year,examtype,csv_id,sub,question,topic,type,difficulty,repeatation
2023,CAT1,1,Computer Networks,"Identify one or more layers of the OSI model that carry out the following responsibilities and explain them in detail:     i) Transmission of bit stream across physical medium.
ii) Defines Frames                                                                            iii)Error correction and retransmission.                                         iv) Reliable Process-to-process message delivery.
v) Route selection.
vi) Provides user services such as e-mail and file transfer.",OSI MODEL,THEORY,EASY,1
2023,CAT1,2,Computer Networks, Compare and contrast star and mesh topologies using suitable examples.,TOPOLOGY,THEORY,MODERATE,1
2023,CAT1,3,Computer Networks,"Assume that processing delay, queuing delay and control overhead-bits are ignored. Consider the message size as 30,000 bits, the propagation time is 10ms per hop, packet length is 1000 bits, transmission rate per hop is 10000 bps and call set-up time is 2ms.Find the total time for both the circuit and packet switching networks when number of intermediate nodes as (i) 2, (ii) 5, (iii) 10, (iv) 50, (v) 100. Also, comment on the network performance in terms of the total delay in both the switching networks when the number of intermediate nodes increases",CIRCUIT AND PACKET SWITCHING,NUMERICAL,HARD,1
2023,CAT1,4,Computer Networks,"Consider an Internet application running on two Internet hosts, Host1 and Host2, which are communicating using a path through router R. Assume that the average service time (queuing and processing delay) at R is 15 ms, packets are 6,000 bits long and the propagation delay between Hostl and Host2 is 250ms. Also, ignore the control overhead.",CIRCUIT AND PACKET SWITCHING,NUMERICAL,EASY,1
2024,CAT1,5,Artificial Intelligence,"Design PEAS for the following artificial intelligent agents.
i) Taxi driver agent 
ii) Automated robot in a manufacturing plant.          
iii) Playing soccer 
iv) Bidding an item on an auction 
v) Shopping for used AI books on the Internet ",PEAS,THEORY,HARD,1
2024,CAT1,6,Artificial Intelligence,"Consider the project developed by Google, codenamed Waymo. Waymo has 
successfully deployed self-driving cars with advanced sensors and implemented 
AI-based model algorithms in their decision-making process. These 
autonomous vehicles navigate the roads, making decisions based on percept 
history and real-time sensory input Ã¯Â¿Â½ the ability to make informed decisions 
based on historical data and real-time perceptual input received from the 
environments. Identify the most suitable model and explain how it fits this 
scenario where a decision has been made based on the perception of events that 
happened. ",AI MODEL,ANALYSIS,HARD,1
2024,CAT1,7,Artificial Intelligence,"a) Suppose a genetic algorithm uses chromosomes of the form x = abcdefgh 
with a fixed length of eight genes. Each gene can be any digit between 0 
and 9. Let the fitness of individual x be calculated as: 
 f(x)=(a+b)-(c+d)+(e+f)-(g+h)
and let the initial population consist of four individuals with the following 
chromosomes: 
x1 = 6 5 4 1 3 5 3 2,
x2 = 8 7 1 2 6 6 0 1 ,
x3 = 2 3 9 2 1 2 8 5 ,
x4 = 4 1 8 5 2 0 9 4 
 
Evaluate each individual's fitness, showing all your workings and arrange 
them in order with the fittest first and the least fit last.
b) With a neat sketch of the hill-climbing algorithm's state-space landscape, 
explain why the hill-climbing search gets struck. List the variants of the hill 
climbing algorithm and describe how they overcome this problem",GENETIC ALGORITHM,NUMERICAL,MODERATE,2
2024,FAT,8,Artificial Intelligence,"You are given with five different tasks like  
(i) Crossword puzzle 
(ii) N Queens Problem
(iii)  Tower of Hanoi 
(iv) Ludo 
List the PEAS description and the properties for the given tasks to their 
environment characteristics with suitable justification. ",PEAS,THEORY,HARD,1
2024,CAT1,9,Artificial Intelligence,"A taxi company wants to optimize its drivers' routes to reduce fuel 
consumption, minimize travel time, and enhance customer satisfaction. List 
the challenges and plans in developing an AI system for a real-time route 
optimization system that assists drivers in selecting the most efficient routes 
while considering dynamic factors like traffic, road conditions, toll plazas 
and weather conditions? Discuss with diagram the most suitable type of 
agent that can be used for this type of system. ",AI AGENT,ANALYSIS,HARD,1
2024,CAT1,10,Artificial Intelligence,"Show that hill-climbing approach suffers from local optima in solving a 
problem. Use a global heuristic function to solve the same problem to reach 
the goal state.",HILL CLIMBING,THEORY,EASY,1
2024,CAT2,11,Artificial Intelligence,"a) Describe different approaches to Artificial Intelligence. List the timeline of the evolution of artificial intelligence and briefly describe each period/breakthrough.
b) Consider an artificial agent learning to play chess, where the agent learns the game's rules and optimal moves through multiple plays and feedback from critics. Which type of agent would be most suitable for a chess-playing agent? Justify your answer. Also, briefly describe the agent architecture with a suitable diagram.",AI AGENT,THEORY,EASY,1
2024,CAT1,12,Artificial Intelligence,"Describe the task environments and their characteristics for the following agents.
i. Rental Bike/Car booking
ii. Cooking Robot
iii. Grocery Delivery
iv. Playing Chess",PEAS,THEORY,EASY,1
2024,CAT1,13,Artificial Intelligence,Explain each step of the genetic algorithm with correct terminology in detail using the eight-queen problem and appropriate examples. Calculations must be provided along with the steps when necessary.,GENETIC ALGORITHM,THEORY,EASY,1
2024,CAT2,14,Artificial Intelligence,"Illustrate the PEAS components and classify the environment type for
the provided scenarios.
a) Customer browsing an online shopping website
b) Chatbot customer service
c) Home automation system",PEAS,THEORY,EASY,1
2024,CAT2,15,Artificial Intelligence,"a) Consider a scenario where a bank wants to enhance its fraud
detection system. Justify how AI can identify fraudulent transactions,
prevent money laundering and improve risk assessment.
b) Illustrate how the subfield of AI Expert system works and where is it
typically applied?",AI AGENT,ANALYSIS,EASY,1
2024,CAT1,16,Artificial Intelligence,"A manufacturing plant aims to create an optimal production schedule
that reduces production time and efficiently utilizes resources. Discuss
how hill climbing could be applied to determine a feasible schedule,
highlighting potential obstacles. Also, illustrate how simulated
annealing can be used to overcome suboptimal solutions and achieve a
better schedule.",SIMULATED ANNEALING,THEORY,EASY,1
2023,CAT2,17,Artificial Intelligence,"a) Explain in detail about any 10 applications of AI.
b) Explain the following (1) Model based Agent (2) Goal based agent",AI AGENT,THEORY ,HARD,1
2023,CAT1,18,Artificial Intelligence,"a) Discuss the properties of task environment.
b) For each of the following activities, give a PEAS description of the task environment.
Ã¯Â¿Â½ Playing soccer.
Ã¯Â¿Â½ Exploring the subsurface oceans of Titan.
Ã¯Â¿Â½ Shopping for used AI books on the Internet.",PEAS,THEORY,MODERATE,1
2025,CAT1,19,Artificial Intelligence,"An Al agent is supposed to manage the energy consumption of a smart home. The agent's objective is to minimize the electricity bill while ensuring the residents' comfort. It has access to weather forecasts, real-time electricity pricing from the grid, and sensors in each room (temperature, occupancy). It can control the heating, ventilation, and air conditioning (HVAC) system, the smart lighting, and high-consumption appliances like the dishwasher and washing machine.
What is the correct PEAS categorization for this agent? Classify this task environment according to the following properties- Deterministic vs. Stochastic, Static vs. Dynamic, and Episodic vs. Sequential, and briefly justify your choices. What strategy should the agent adopt to effectively balance cost minimization with maintaining comfort?",PEAS ,ANALYSIS,HARD,2
2024,FAT,20,Computer Networks,"A company wants to design a network for its new office building that spans four floors. The IT team needs to connect various departments such as finance, HR, and engineering located on different floors. The network must support high-speed internet access, secure communications, and the ability to handle large amounts of data being transferred within the office.
The following requirements must be met.
a) Each department should have its own dedicated segment to reduce traffic congestion.
b) The network should be scalable to accommodate future expansions.
c) Security is important, so there must be provisions for isolating department and preventing unauthorized access to data.
d) A wireless network should cover common areas like the lobby and cafeteria.",VLAN ,TECHNICAL,HARD,2
